hh_id,share_energy,share_food,share_goods,share_services
83,0.1876586819737278,0.2091842366707142,0.26183905508334254,0.34131802627221547
84,0.1901863826550019,0.1890452643590719,0.3394826930391784,0.27748193229364776
85,0.23980815347721823,0.18798873944322803,0.38609112709832133,0.1861119799812324
86,0.07242178447276941,0.34183082271147164,0.2549246813441483,0.3308227114716107
87,0.14641288433382138,0.3033186920449,0.29160566129819426,0.25866276232308444
88,0.036190673146520524,0.12191086754213629,0.2040119946231,0.5034639644297384
89,0.09433962264150944,0.1070506454816286,0.24726911618669314,0.4222442899702085
90,0.17670905374034163,0.12341914694570527,0.2725130799348602,0.42590346834829007
91,0.15634679489070474,0.1014779197026461,0.22360541608897017,0.518569869317679
92,0.0928701084891722,0.08484950821056186,0.18983494448900334,0.6324454388112626
93,0.09935634368655233,0.14333232537042637,0.32696876754935417,0.4303425633936671
94,0.04963052828940113,0.22934818572846585,0.2738502260946289,0.44579243410168745
95,0.24129992030461347,0.10046046223324183,0.49499690073496855,0.16324271672717613
96,0.21161736126106673,0.317857914057439,0.20621895918808034,0.26430576549341395
97,0.18491311616596584,0.10441258422412483,0.5033183038654441,0.20735599574446528
98,0.06673785371062467,0.05735641827473114,0.5586911753489436,0.31721455266570053
99,0.21027295810410496,0.06183876428269149,0.6398116800677105,0.08807659754549302
100,0.1889210878288007,0.18635755684351316,0.3053945608559964,0.3193267944716897
101,0.3105590062111801,0.3717152412804587,0.2264691829909221,0.09125656951743909
102,0.05228758169934641,0.0773202614379085,0.32679738562091504,0.5435947712418301
103,0.030995394969890188,0.09192348565356004,0.23264257881686148,0.6444385405596883
104,0.19497562804649418,0.10228721409823772,0.4068241469816273,0.2959130108736408
105,0.1246344854033843,0.14836297397056708,0.28761804323857915,0.43938449738746943
106,0.14369215781782757,0.07917681441792498,0.5012420847540185,0.2758889430102289
107,0.16894486254031638,0.10394716633389649,0.44377207802180924,0.2833358931039779
108,0.2089976730155994,0.06502628630526588,0.5794622080496423,0.14651383262949239
109,0.13666170716922907,0.09213644128506089,0.5204717033118422,0.25073014823386786
110,0.09175405147759771,0.24487607244995233,0.20996186844613918,0.3402049571020019
111,0.21073335206518684,0.07754987355998876,0.49627704411351503,0.11007305422871592
112,0.186371578334304,0.13558532323820618,0.22446126965637742,0.4535818287711124
113,0.16714454605987308,0.03833453369389447,0.6361956270638275,0.15832529318240499
114,0.07242655289113631,0.056650732825030616,0.8000368716996537,0.0708858425841794
115,0.23537525111690805,0.07163203502143864,0.19606608497496328,0.49692662888669004
116,0.3066097009298819,0.09907011812013068,0.3078662980648404,0.286453882885147
117,0.274956511980248,0.12114920599292969,0.21238987711127322,0.22316368329498906
118,0.07940871052470833,0.1305357033779244,0.16969030602895363,0.43711440962677905
119,0.1512532411408816,0.3617113223854797,0.3303802938634399,0.15665514261019878
120,0.2899321075648119,0.09787624731208776,0.4635047959602793,0.14868684916282104
121,0.18217626784835056,0.05366814377154111,0.09847365829640571,0.6632200886262924
122,0.1151808339092375,0.254626430162021,0.4255547876833295,0.202718267680258
123,0.10303770416730271,0.08624637459929782,0.329262707983514,0.4814532132498855
124,0.019704433497536946,0.27832512315270935,0.5246305418719212,0.17733990147783252
125,0.06247396917950854,0.14785506039150353,0.0728862973760933,0.09204498125780924
126,0.2844950213371266,0.34039829302987196,0.27453769559032715,0.07681365576102418
127,0.014443561782335523,0.1971546183288799,0.21665342673503285,0.39120387087455766
128,0.0351926799225761,0.1057540031673412,0.25901812423016013,0.42407179306704207
129,0.20131976289005704,0.16217425343921263,0.18845766692763674,0.16843753495134772
130,0.10806451612903226,0.11983870967741936,0.2129032258064516,0.15596774193548388
131,0.047378395451674035,0.6010739102969046,0.12634238787113075,0.2252053063802906
132,0.09052159775014282,0.09500373511447027,0.30364283517159557,0.4229467856044294
133,0.02279462046956918,0.10075222247549578,0.11055390927741053,0.5607476635514018
134,0.20534232276390765,0.18284022656102944,0.2102363147897808,0.4015811358852821
135,0.13328143613696142,0.11567177382258235,0.14656240048122854,0.6044843895592277
136,0.30012808013610903,0.08504903366404772,0.26659784748905585,0.3482250387107874
137,0.12664159163152364,0.04723731367855831,0.29401111913174527,0.5321099755581729
138,0.23178504986428375,0.07990484613742413,0.49412912867120073,0.19418097532709142
