hh_id,hh_expenditures_0,hh_expenditures_0_pc,hh_weights,urban,hh_size,Income_Group_5,Income_Group_10,hh_expenditures_USD,expenditures,share_ely,Urban
262,159216,79608,711.4137,1,2,5,9,4902.1213707318575,4560,0.028640337654507086,Urban
263,177432,88716,711.4137,1,2,5,9,5462.976076849657,2400,0.013526308670363857,Urban
264,159960,39990,711.4137,1,4,3,6,4925.0284799408855,9600,0.06001500375093773,Urban
265,163416,40854,711.4137,1,4,3,6,5031.435696911851,14400,0.0881186664708474,Urban
266,252276,63069,711.4137,1,4,4,8,7767.357369377137,9600,0.038053560386243634,Urban
267,30612,30612,711.4137,1,1,3,5,942.516703100465,1140,0.03724029792238338,Urban
268,168108,168108,711.4137,1,1,5,10,5175.898272730072,4896,0.029124134484973946,Urban
269,190656,190656,711.4137,1,1,5,10,5870.13146956495,9600,0.050352467270896276,Urban
270,172224,57408,711.4137,1,3,4,8,5302.6263123864655,6000,0.03483835005574136,Urban
271,140328,23388,383.2644,1,6,2,4,4320.576372425259,24000,0.17102787754403967,Urban
272,44988,14996,383.2644,1,3,2,3,1385.1411681394131,24000,0.5334755934915978,Urban
273,100452,25113,383.2644,1,4,3,5,3092.8292127220666,12000,0.11946004061641381,Urban
274,35796,35796,383.2644,1,1,3,6,1102.1275285569138,1200,0.03352329869259135,Urban
275,37776,37776,383.2644,1,1,3,6,1163.0899966131963,1200,0.03176620076238882,Urban
276,38424,38424,383.2644,1,1,3,6,1183.0413497952525,1200,0.03123048094940662,Urban
277,38136,38136,383.2644,1,1,3,6,1174.1740817143386,2400,0.06293266205160478,Urban
278,53784,53784,383.2644,1,1,4,7,1655.9623141106563,1200,0.022311468094600623,Urban
279,72888,36444,383.2644,1,2,3,6,2244.1577634779396,2400,0.03292723081988805,Urban
280,42384,42384,383.2644,1,1,4,7,1304.9662859078173,1200,0.028312570781426953,Urban
281,37572,37572,383.2644,1,1,3,6,1156.8090150558824,1200,0.031938677738741615,Urban
282,400596,200298,579.5825,1,2,5,10,12334.000431047754,6000,0.014977683251954588,Urban
283,385536,48192,579.5825,1,8,4,7,11870.316204316636,20400,0.05291334661354582,Urban
284,168480,42120,579.5825,1,4,4,7,5187.351827334585,6000,0.03561253561253561,Urban
285,61680,61680,579.5825,1,1,4,8,1899.0732473290434,1920,0.0311284046692607,Urban
286,141552,70776,579.5825,1,2,4,8,4358.262261769143,2400,0.0169548999660902,Urban
287,217980,43596,579.5825,1,5,4,7,6711.413528741649,19200,0.08808147536471236,Urban
288,148920,148920,579.5825,1,1,5,10,4585.1165368391885,3120,0.020950846091861403,Urban
289,115044,115044,579.5825,1,1,5,10,3542.1041288217,4200,0.03650777093981433,Urban
290,78360,78360,579.5825,1,1,5,9,2412.6358570153025,3600,0.045941807044410414,Urban
291,109956,109956,579.5825,1,1,5,9,3385.449059392223,2040,0.01855287569573284,Urban
292,316752,316752,579.5825,1,1,5,10,9752.517010991718,2160,0.006819215032580694,Urban
293,112920,112920,579.5825,1,1,5,9,3476.7080267249607,1920,0.01700318809776833,Urban
294,89412,44706,1330.249,1,2,4,7,2752.9172696203705,8400,0.09394712119178633,Urban
295,219408,73136,1330.249,1,3,4,8,6755.380399642847,8400,0.03828483920367534,Urban
296,125508,41836,1330.249,1,3,4,7,3864.281535761569,4800,0.03824457405105651,Urban
297,130548,43516,1330.249,1,3,4,7,4019.4587271775613,3600,0.027576063976468425,Urban
298,61980,61980,1330.249,1,1,4,8,1908.3099849133287,1680,0.027105517909002903,Urban
299,562932,281466,725.6487,1,2,5,10,17332.18387265618,8760,0.015561382191810023,Urban
300,245424,122712,725.6487,1,2,5,10,7556.390282952062,4800,0.019557989438685704,Urban
