hh_id,hh_expenditures_0,hh_expenditures_0_pc,hh_weights,urban,hh_size,Income_Group_5,Income_Group_10,hh_expenditures_USD_pc,expenditures,share_ely,Urban
126995861613,95188,19037.6,4441,1,5,4,7,914.0387939312463,2100,0.02206160440391646,Urban
12719631113,43930,21965,3650,2,2,4,8,1054.5899750336087,1260,0.028681994081493283,Rural
12719631115,59773,9962.166666666666,3650,2,6,2,4,478.3064464502913,1512,0.025295702072842253,Rural
12719646814,14076,14076,4519,2,1,3,5,675.8210101786058,800,0.05683432793407218,Rural
12719658614,44043,22021.5,4708,2,2,4,8,1057.3026694833877,2848,0.06466407828712849,Rural
12719658615,87918,21979.5,4708,2,4,4,8,1055.2861532552333,2400,0.027298164198457653,Rural
12719673413,41212,20606,4454,2,2,4,7,989.3412713654695,1600,0.03882364359895176,Rural
12719673414,93210,23302.5,4454,2,4,4,8,1118.806414442097,1440,0.01544898616028323,Rural
12719673415,118150,59075,4454,2,2,5,10,2836.3260994814673,960,0.008125264494286924,Rural
12719691313,37576,7515.2,3744,2,5,1,2,360.8219704244286,1980,0.05269320843091335,Rural
12719691314,49857,12464.25,3744,2,4,3,5,598.4371999231803,3000,0.06017209218364523,Rural
12729733619,98104,16350.666666666666,4690,2,6,3,6,785.0329684399206,4200,0.04281171002201745,Rural
127297481013,20466,6822,4519,2,3,1,2,327.53985020165163,1420,0.06938336753640184,Rural
127297481014,43017,14339,4519,2,3,3,6,688.448242750144,1724,0.04007717878978079,Rural
12729769613,69430,17357.5,4893,2,4,4,7,833.3733435759555,5100,0.07345527869796918,Rural
12739826313,87695,17539,4337,2,5,4,7,842.0875744190513,3600,0.041051371229830665,Rural
12739826315,99937,24984.25,4337,2,4,4,8,1199.5510850777798,1200,0.012007564765802456,Rural
127498621714,140413,20059,4695,2,7,4,7,963.0785481083158,3840,0.02734789513791458,Rural
127498621715,68074,22691.333333333332,4695,2,3,4,8,1089.4629025030408,3360,0.04935805153215618,Rural
12754939615,32901,5483.5,4699,2,6,1,2,263.2753985020165,3250,0.09878119206103159,Rural
127598951719,60003,10000.5,4218,1,6,2,4,480.1469176109084,7200,0.119994000299985,Urban
127610006413,74163,14832.6,4552,2,5,3,6,712.147109660073,2580,0.03478823672181546,Rural
127610006414,87765,21941.25,4552,2,4,4,8,1053.4496831188785,2750,0.031333675155244115,Rural
127610006415,102108,20421.6,4552,2,5,4,7,980.4878048780487,2750,0.02693226779488385,Rural
1277100182813,80565,26855,3703,1,3,5,9,1289.3700787401574,2900,0.0359957798051263,Urban
1277100182820,161356,40339,3703,1,4,5,10,1936.7678125600153,5000,0.030987381938074817,Urban
1277100751213,109272,27318,3114,2,4,5,9,1311.5997695410026,6000,0.05490885130683066,Rural
127810138413,61346,30673,4831,2,2,5,9,1472.6810063376224,5000,0.08150490659537704,Rural
127810138414,89470,17894,4831,2,5,4,7,859.1319377760707,3600,0.04023695093327372,Rural
127810153514,59735,14933.75,4519,2,4,3,6,717.0035529095449,1920,0.032141960324767724,Rural
127810153515,37406,7481.2,4519,2,5,1,2,359.1895525254465,2400,0.06416082981339892,Rural
127810153520,62053,15513.25,4519,2,4,3,6,744.826675628961,4200,0.06768407651523697,Rural
127810174613,160433,40108.25,4711,2,4,5,10,1925.6889763779527,4000,0.024932526350563786,Rural
127810174615,40460,20230,4711,2,2,4,7,971.288649894373,2500,0.061789421651013345,Rural
127810174620,158138,31627.6,4711,2,5,5,9,1518.5135394661033,5000,0.0316179539389647,Rural
127910213713,164546,32909.2,4187,2,5,5,9,1580.0460917995006,2800,0.01701651817728781,Rural
127910213714,86108,21527,4187,2,4,4,8,1033.560591511427,3800,0.0441306266548985,Rural
127910213715,116289,29072.25,4187,2,4,5,9,1395.825331284809,3100,0.026657723430419042,Rural
127910231515,55110,13777.5,4519,2,4,3,5,661.4893412713654,3600,0.065323897659227,Rural
1279102491113,40433,10108.25,4685,2,4,2,4,485.3202419819474,3360,0.08310043776123463,Rural
12791113,251477,83825.66666666667,4414,1,3,5,10,4024.6623135522696,2880,0.011452339577774508,Urban
12791114,122206,40735.333333333336,4414,1,3,5,10,1955.7966839510916,3500,0.028640164967350213,Urban
12791119,227946,56986.5,4414,1,4,5,10,2736.052429421932,5000,0.02193501969764769,Urban
128010294419,74093,18523.25,4766,2,4,4,7,889.3436719800269,2500,0.03374137907764566,Rural
128110408214,74829,18707.25,4700,2,4,4,7,898.1779335509891,1500,0.02004570420558874,Rural
1282104411413,107380,26845,4367,1,4,5,9,1288.889955828692,3700,0.03445706835537344,Urban
