hh_id,hh_expenditures_0,hh_expenditures_0_pc,hh_weights,urban,hh_size,Income_Group_5,Income_Group_10,hh_expenditures_USD_pc,expenditures,share_ely,Urban
247062,94209.82142857143,18841.964285714286,911.919982910156,2,5,3,5,270.5274201455051,2400,0.025475050940624553,Urban
247067,183814.92857142867,20423.88095238096,911.919982910156,2,9,3,5,293.24011762381315,4200,0.022849069075300495,Urban
247082,81199.42857142855,20299.857142857138,911.919982910156,2,4,3,5,291.4594199896213,1800,0.022167643685036494,Urban
247153,74516.35714285714,18629.089285714286,911.919982910156,2,4,3,5,267.47102306873444,0,0,Urban
247208,108228.4285714286,27057.10714285715,911.919982910156,2,4,4,7,388.47804193681384,1200,0.011087659830596395,Urban
249014,162742.07142857142,40685.517857142855,3115.60009765625,1,4,5,9,584.1507825976375,1440,0.008848357326163356,Rural
249018,65927.28571428571,21975.761904761905,3115.60009765625,1,3,3,6,315.52157108877236,1440,0.02184224611097508,Rural
249074,120862.42857142855,30215.607142857138,3115.60009765625,1,4,4,8,433.8268624511068,0,0,Rural
249101,78546.85714285713,26182.28571428571,3115.60009765625,1,3,4,7,375.91761136966375,0,0,Rural
249117,106327.28571428568,26581.82142857142,3115.60009765625,1,4,4,7,381.6540284651814,1440,0.013543090001088288,Rural
249124,187077.8571428571,37415.57142857142,3115.60009765625,1,5,5,9,537.2018468114607,0,0,Rural
249141,107159.42857142858,26789.857142857145,3115.60009765625,1,4,4,7,384.64094449105005,0,0,Rural
249158,42422.64285714284,14140.880952380947,3115.60009765625,1,3,2,3,203.0306386650339,0,0,Rural
249176,44865.57142857143,22432.785714285714,3115.60009765625,1,2,3,6,322.08338546548714,600,0.013373283363953907,Rural
249182,185075.14285714284,61691.71428571428,3115.60009765625,1,3,5,10,885.751615754918,2640,0.01426447635940923,Rural
249209,81975.42857142857,20493.85714285714,3115.60009765625,1,4,3,5,294.24481532910943,1200,0.01463853280076957,Rural
250041,87052.14285714286,29017.38095238095,3115.60009765625,1,3,4,8,416.6230807675767,1140,0.013095599517530544,Rural
250053,100611.35714285712,33537.11904761904,3115.60009765625,1,3,4,8,481.51616028398166,0,0,Rural
250054,105912.49999999999,17652.083333333332,3115.60009765625,1,6,2,4,253.44345695319865,3600,0.033990322199929195,Rural
301109,82527.78571428574,20631.946428571435,3115.60009765625,1,4,3,5,296.22746096241775,2400,0.029081114672201303,Rural
301172,35023.35714285714,35023.35714285714,3115.60009765625,1,1,4,8,502.8551327780318,0,0,Rural
314094,227804.92857142867,37967.48809523811,911.919982910156,2,6,5,9,545.1261051161986,2160,0.009481796612327146,Urban
314110,155107.4285714285,51702.47619047616,911.919982910156,2,3,5,10,742.329052685267,3000,0.0193414334028397,Urban
327235,38814.24999999999,19407.124999999996,3115.60009765625,1,2,3,5,278.64183261784086,0,0,Rural
337082,125641.55357142857,41880.517857142855,2925.14990234375,1,3,5,9,601.3082435805662,0,0,Rural
338185,125333.78571428575,31333.44642857144,2925.14990234375,1,4,4,8,449.87647243422646,2700,0.021542475435593976,Rural
351081,90051.03571428567,22512.758928571417,914.969970703125,2,4,3,6,323.2316175188648,2400,0.026651553543645304,Urban
351148,138039.01428571425,23006.502380952374,914.969970703125,2,6,3,6,330.3206418032186,4200,0.030426180755730454,Urban
351179,220864.03571428574,73621.34523809525,914.969970703125,2,3,5,10,1057.0337727475664,1764,0.007986814124332794,Urban
352259,113291.24999999999,28322.812499999996,914.969970703125,2,4,4,7,406.6506697870751,0,0,Urban
375047,101678.57142857142,20335.714285714283,2925.14990234375,1,5,3,5,291.97424637416594,1860,0.018292939936775554,Rural
399127,117113.1428571429,58556.57142857145,2925.14990234375,1,2,5,10,840.738150275976,0,0,Rural
401130,84361.86071428569,28120.62023809523,914.969970703125,2,3,4,7,403.7476523438273,2400,0.02844887464168495,Urban
402035,137801.21428571435,68900.60714285717,914.969970703125,2,2,5,10,989.254793936125,3600,0.026124588369271045,Urban
402115,330174.25,82543.5625,914.969970703125,2,4,5,10,1185.1363623311174,0,0,Urban
402160,141794.5357142857,47264.84523809524,914.969970703125,2,3,5,9,678.614843545424,1800,0.012694424301561088,Urban
402236,295543.75,147771.875,914.969970703125,2,2,5,10,2121.665422331979,0,0,Urban
417006,275907.9500000001,68976.98750000003,914.969970703125,2,4,5,10,990.3514407959918,3600,0.013047829901240607,Urban
417024,300911.4285714286,100303.80952380953,914.969970703125,2,3,5,10,1440.1328019613998,6000,0.019939422136556556,Urban
417151,197196.85714285713,49299.21428571428,914.969970703125,2,4,5,9,707.8237201641701,5040,0.025558216662392476,Urban
417162,213135.78571428568,53283.94642857142,914.969970703125,2,4,5,10,765.0353404725325,3000,0.014075534007327993,Urban
417164,276203.23928571434,39457.60561224491,914.969970703125,2,7,5,9,566.5207772149623,4800,0.0173785072630329,Urban
417185,177233.42857142852,59077.809523809505,914.969970703125,2,3,5,10,848.221934612263,1320,0.0074478049126495026,Urban
417235,154813.1428571428,38703.2857142857,914.969970703125,2,4,5,9,555.6904724301239,0,0,Urban
439226,64276.85714285714,16069.214285714284,3787.88989257812,1,4,2,4,230.7170854673331,0,0,Rural
440055,48107.03571428567,6872.433673469381,3787.88989257812,1,7,1,1,98.67239548980432,0,0,Rural
463004,66372.49999999997,13274.499999999995,3787.88989257812,1,5,2,3,190.59139398986338,0,0,Rural
463213,138344.78571428577,17293.09821428572,3787.88989257812,1,8,2,4,248.2892534607205,2400,0.017347961382198816,Rural
464003,22759.785714285714,11379.892857142857,3787.88989257812,1,2,1,2,163.38917798019867,0,0,Rural
478096,63159.785714285696,12631.95714285714,3787.88989257812,1,5,1,2,181.36595131096124,0,0,Rural
490131,201305.75,50326.4375,3787.88989257812,1,4,5,9,722.5722910594552,0,0,Rural
516014,209959.9642857143,52489.99107142857,1308.25,2,4,5,10,753.6359613408458,2160,0.010287675592574706,Urban
516066,275742.96428571426,45957.16071428571,1308.25,2,6,5,9,659.8394910807866,11400,0.041342849960036544,Urban
516086,495328.5,55036.5,1308.25,2,9,5,10,790.1979927924306,2880,0.005814323221861855,Urban
516089,379554.8571428571,47444.35714285714,1308.25,2,8,5,9,681.1922230449416,2400,0.00632319664689915,Urban
516138,196212.92857142855,65404.30952380952,1308.25,2,3,5,10,939.0559738662367,0,0,Urban
516161,255549.57142857136,85183.19047619046,1308.25,2,3,5,10,1223.0353698716488,3000,0.011739405326447709,Urban
516188,787649.7500000001,157529.95,1308.25,2,5,5,10,2261.769013194734,14400,0.01828223775859765,Urban
517248,177819.57142857142,44454.892857142855,1308.25,2,4,5,9,638.2703679470324,3600,0.020245240560857435,Urban
554279,120729.78571428575,24145.95714285715,3787.88989257812,1,5,3,6,346.680600480368,1200,0.009939552140346473,Rural
558116,70793.64285714283,23597.880952380943,3787.88989257812,1,3,3,6,338.8114826111063,660,0.009322871000321866,Rural
558173,77087.07142857143,25695.690476190477,3787.88989257812,1,3,4,7,368.9312190582848,0,0,Rural
580019,51747.14285714284,17249.047619047615,2117.419921875,1,3,2,4,247.6567878799066,0,0,Rural
580085,82241.64285714288,20560.41071428572,2117.419921875,1,4,3,5,295.20037206974575,0,0,Rural
593158,94381.28571428571,18876.257142857143,2117.419921875,1,5,3,5,271.01978697263627,0,0,Rural
012079,138866.78571428574,46288.92857142858,2507.01000976562,1,3,5,9,664.6029170760323,1800,0.012962062819711592,Rural
012174,110256.82142857143,18376.136904761905,2507.01000976562,1,6,3,5,263.8392066614295,0,0,Rural
020018,72844.28571428572,10406.326530612247,2507.01000976562,1,7,1,1,149.4109970080295,0,0,Rural
020045,119038.21428571436,29759.55357142859,2507.01000976562,1,4,4,8,427.27897846959166,1440,0.012096955659497092,Rural
031061,83463.8357142857,20865.958928571425,2507.01000976562,1,4,3,5,299.587344090675,0,0,Rural
033013,207730.62499999997,34621.77083333333,1144.94995117188,2,6,4,8,497.08927383499156,7200,0.034660272167380234,Urban
033025,213066.73214285722,53266.683035714304,1144.94995117188,2,4,5,10,764.78747771991425,1440,0.006758445983179144,Urban
033340,475223.1928571428,95044.63857142857,1144.94995117188,2,5,5,10,1364.6231614442213,3600,0.007575387847457602,Urban
052025,42376.35714285713,21188.178571428565,2946.43994140625,1,2,3,6,304.21367961390064,0,0,Rural
052032,90169.7142857143,30056.571428571435,2946.43994140625,1,3,4,8,431.5434741140782,0,0,Rural
052041,93138.28571428571,23284.571428571428,2946.43994140625,1,4,3,6,334.3130759748371,0,0,Rural
052070,119105.21428571429,19850.86904761905,2946.43994140625,1,6,3,5,285.0129800516741,0,0,Rural
052112,324498.4285714285,81124.60714285713,2946.43994140625,1,4,5,10,1164.7634157397397,0,0,Rural
052138,208276.14285714287,69425.38095238096,2946.43994140625,1,3,5,10,996.78934302547,0,0,Rural
052168,88755.99999999997,17751.199999999993,2946.43994140625,1,5,2,4,254.86654510473937,0,0,Rural
052180,55231.21428571428,27615.60714285714,2946.43994140625,1,2,4,7,396.4968218187934,0,0,Rural
055010,102878.5714285714,25719.64285714285,897.109985351562,2,4,4,7,369.27512034835894,0,0,Urban
055020,165688.00000000003,23669.71428571429,897.109985351562,2,7,3,6,339.8428446311403,0,0,Urban
104091,91488.99999999999,22872.249999999996,2946.43994140625,1,4,3,6,328.3930853278582,1080,0.011804697832526316,Rural
105046,240991.28571428568,40165.21428571428,2946.43994140625,1,6,5,9,576.6804158812658,1320,0.0054773764789361095,Rural
105196,233864.21428571426,25984.912698412696,2946.43994140625,1,9,4,7,373.0837872534092,1320,0.005644300920650231,Rural
107165,233776.71428571426,38962.78571428571,2946.43994140625,1,6,5,9,559.4162976393876,1800,0.007699654798809854,Rural
107186,198533.7857142857,33088.96428571428,2946.43994140625,1,6,4,8,475.0816851026473,4200,0.02115508947199703,Rural
124093,79424.99999999997,15884.999999999995,2946.43994140625,1,5,2,4,228.07219055549965,1920,0.02417374881964118,Rural
125018,92194.71428571429,30731.57142857143,2946.43994140625,1,3,4,8,441.23492697054417,2640,0.028635047252476512,Rural
125064,148951,29790.2,2946.43994140625,1,5,4,8,427.7189909402863,1440,0.009667608810951252,Rural
125105,151570.50000000003,50523.50000000001,2946.43994140625,1,3,5,9,725.4016568794958,2400,0.01583421576098251,Rural
125165,106357.82142857142,26589.455357142855,2946.43994140625,1,4,4,7,381.7636341820106,1200,0.011282668109236376,Rural
125176,163399.5,27233.25,2946.43994140625,1,6,4,7,391.00704963459634,1800,0.011015945581228828,Rural
141026,112857.67857142858,28214.419642857145,897.109985351562,2,4,4,7,405.09439680192315,3600,0.031898582759891964,Urban
155005,202496.28571428574,28928.040816326535,2946.43994140625,1,7,4,8,415.3403611871891,0,0,Rural
155023,251528.7857142857,50305.75714285714,2946.43994140625,1,5,5,9,722.2753685315961,10860,0.043175972758585146,Rural
155129,166739.8571428571,41684.964285714275,2946.43994140625,1,4,5,9,598.5005425162497,10860,0.06513139801178741,Rural
156092,217041.42857142858,72347.14285714286,2946.43994140625,1,3,5,10,1038.7391471111266,0,0,Rural
190011,61086.23214285715,15271.558035714288,3115.60009765625,1,4,2,3,219.26456999690288,0,0,Rural
190074,175347.14642857146,25049.59234693878,3115.60009765625,1,7,4,7,359.6547308208127,2100,0.011976242800480619,Rural
190148,274713.21428571426,39244.74489795918,3115.60009765625,1,7,5,9,563.4645852483047,3120,0.011357298585407901,Rural
191008,87722.88571428572,17544.577142857142,3115.60009765625,1,5,2,4,251.89991446908272,0,0,Rural
191114,64351.30000000003,21450.433333333345,3115.60009765625,1,3,3,6,307.97905689002494,0,0,Rural
191202,263957.91785714286,87985.97261904762,3115.60009765625,1,3,5,10,1263.276897285641,3240,0.012274683882578307,Rural
193189,257330.76428571428,85776.92142857143,6882.25,2,3,5,10,1231.559985478204,2760,0.010725495677367098,Urban
193217,229555.46428571432,57388.86607142858,6882.25,2,4,5,10,823.9725778033938,4644,0.02023040494570795,Urban
